iter	Passed	Remaining
411	3646	778
412	3653	769
413	3661	760
414	3670	751
415	3677	742
416	3685	733
417	3693	724
418	3701	715
419	3709	706
420	3717	697
421	3725	688
422	3734	679
423	3743	671
424	3754	662
425	3762	653
426	3770	644
427	3780	635
428	3788	627
429	3796	618
430	3804	609
431	3812	600
432	3820	591
433	3829	582
434	3837	573
435	3845	564
436	3853	555
437	3861	546
438	3870	537
439	3878	528
440	3887	520
441	3894	511
442	3902	502
443	3910	493
444	3919	484
445	3928	475
446	3936	466
447	3945	457
448	3954	449
449	3963	440
450	3971	431
451	3979	422
452	3988	413
453	3996	404
454	4005	396
455	4014	387
456	4022	378
457	4030	369
458	4038	360
459	4046	351
460	4054	343
461	4063	334
462	4072	325
463	4081	316
464	4090	307
465	4098	299
466	4106	290
467	4114	281
468	4123	272
469	4131	263
470	4140	254
471	4148	246
472	4156	237
473	4164	228
474	4172	219
475	4181	210
476	4190	202
477	4198	193
478	4206	184
479	4215	175
480	4223	166
481	4232	158
482	4240	149
483	4248	140
484	4257	131
485	4265	122
486	4273	114
487	4280	105
488	4287	96
489	4294	87
490	4302	78
491	4309	70
492	4320	61
493	4331	52
494	4339	43
495	4348	35
496	4357	26
497	4365	17
498	4373	8
499	4381	0
