iter	Logloss
0	0.6822815576
1	0.6731906177
2	0.6637241232
3	0.6550451971
4	0.6468570546
5	0.6389942403
6	0.6321081824
7	0.6243277789
8	0.6180127202
9	0.6119686386
10	0.6062443733
11	0.600784828
12	0.5958304001
13	0.590931465
14	0.5859529069
15	0.5817547092
16	0.5771815634
17	0.5730795453
18	0.5688586332
19	0.5657436128
20	0.5625618449
21	0.5583273921
22	0.5551920096
23	0.552212778
24	0.5491779124
25	0.5462786488
26	0.5441878057
27	0.5418144137
28	0.539099649
29	0.5370855567
30	0.5348907759
31	0.5326098769
32	0.5306467381
33	0.5296205525
34	0.5277722746
35	0.5263958557
36	0.5246333098
37	0.5228303072
38	0.5211067322
39	0.5194470657
40	0.51731371
41	0.5161120845
42	0.514613489
43	0.5133315235
44	0.511754958
45	0.5102179283
46	0.5084206192
47	0.5071618517
48	0.5062607159
49	0.5050500153
50	0.5040418505
51	0.5031177562
52	0.5021989645
53	0.5013411359
54	0.5004792769
55	0.4992146891
56	0.4979651675
57	0.496779228
58	0.4956535287
59	0.4946973718
60	0.4937245711
61	0.4930890907
62	0.4919020582
63	0.4909022102
64	0.4897831646
65	0.4890004438
66	0.4881231928
67	0.4867001386
68	0.4861394778
69	0.4852731782
70	0.4843304218
71	0.4837292854
72	0.4827062906
73	0.482003831
74	0.4812381961
75	0.4800543738
76	0.4792679937
77	0.4787650532
78	0.4781592747
79	0.4773308851
80	0.4764890348
81	0.4753972849
82	0.4747721479
83	0.473969833
84	0.4732385812
85	0.4724981531
86	0.4716681392
87	0.4710866584
88	0.4703194821
89	0.4695680513
90	0.4689105061
91	0.4682776708
92	0.4671578308
93	0.4662943958
94	0.4657946537
95	0.4648703126
96	0.4644030846
97	0.4637835668
98	0.463242565
99	0.4626565315
100	0.4619926381
101	0.4614147052
102	0.4605713875
103	0.4598323548
104	0.459159612
105	0.4581495693
106	0.457353708
107	0.4567419813
108	0.4561772639
109	0.4555546245
110	0.4547498902
111	0.4541659932
112	0.4535841559
113	0.4530383633
114	0.4525365859
115	0.4520932461
116	0.4514712253
117	0.4507994576
118	0.4496679943
119	0.4490780726
120	0.4482729048
121	0.4476128963
122	0.4470070818
123	0.4464858875
124	0.445715424
125	0.4450291711
126	0.4438142231
127	0.4426618579
128	0.4420724632
129	0.4413949965
130	0.4406945264
131	0.4398204612
132	0.4389891305
133	0.4381042507
134	0.4372867654
135	0.4366906364
136	0.4360904875
137	0.4357415885
138	0.4352475568
139	0.4345043202
140	0.4341021371
141	0.4336005042
142	0.43327874
143	0.4323281457
144	0.4319424143
145	0.4312070076
146	0.4308740598
147	0.4302177053
148	0.4293345315
149	0.428606894
150	0.4278622338
151	0.4271386515
152	0.4266027159
153	0.425943531
154	0.4254104864
155	0.4249410087
156	0.4244078112
157	0.4237919548
158	0.4234214768
159	0.4226463147
160	0.4221214007
161	0.4211645811
162	0.420798624
163	0.4201711542
164	0.4196670441
165	0.4190540084
166	0.4185280906
167	0.4177606227
168	0.4172833271
169	0.416803444
170	0.4157087825
171	0.4151237089
172	0.4147156592
173	0.414231746
174	0.4136357651
175	0.4125693412
176	0.4117680599
177	0.4113172715
178	0.4107964527
179	0.4102917649
180	0.4092860748
181	0.4088199112
182	0.4083307906
183	0.4077006128
184	0.4072653796
185	0.4067119672
186	0.4061918306
187	0.405904743
188	0.4053636039
189	0.405004495
190	0.404217168
191	0.4036287742
192	0.4031915084
193	0.4026516422
194	0.4022857959
195	0.4017022522
196	0.4012572517
197	0.4007043138
198	0.4000422386
199	0.3993488522
200	0.3987273061
201	0.3981432814
202	0.397512111
203	0.3969809543
204	0.3963970317
205	0.3960832728
206	0.3956677052
207	0.3950638854
208	0.3944360834
209	0.3940969769
210	0.393518698
211	0.3926680883
212	0.3922609903
213	0.3918955138
214	0.3911336586
215	0.3906124754
216	0.3900831001
217	0.3895629739
218	0.3891392598
219	0.3886310961
220	0.3881256812
221	0.3873359615
222	0.3863990985
223	0.3857841682
224	0.3851882471
225	0.3846639032
226	0.3842305988
227	0.3836309726
228	0.383202685
229	0.3827185156
230	0.382421229
231	0.3820167129
232	0.3815023733
233	0.3811321147
234	0.3806191671
235	0.3804647692
236	0.3798085524
237	0.3796083088
238	0.379115251
239	0.3785801796
240	0.3781954274
241	0.3775845843
242	0.3771413544
243	0.3767917074
244	0.3762363922
245	0.3757858825
246	0.3752259667
247	0.3745777993
248	0.3738283879
249	0.3731238126
250	0.3728120343
251	0.3723461894
252	0.3715932123
253	0.3712853544
254	0.3706742878
255	0.3703025766
256	0.3697347839
257	0.3691378063
258	0.3685568567
259	0.3679888216
260	0.3677213816
261	0.3671300836
262	0.3664691691
263	0.3658069948
264	0.365195353
265	0.3645777479
266	0.3639047085
267	0.3632184466
268	0.3628667038
269	0.3622187695
270	0.3614498444
271	0.3609522727
272	0.3604164141
273	0.359805728
274	0.3592457674
275	0.3586102372
276	0.3582510295
277	0.3577033888
278	0.3572107114
279	0.3565195176
280	0.3559396713
281	0.3555883371
282	0.3551987871
283	0.3545856029
284	0.3540915495
285	0.3532682227
286	0.3528704106
287	0.3523996833
288	0.351808924
289	0.3512164421
290	0.3508463703
291	0.3502587358
292	0.3497195941
293	0.3491868076
294	0.3487733793
295	0.3482437341
296	0.3476801948
297	0.3471478195
298	0.3463651845
299	0.3459025909
300	0.3453858878
301	0.3448060672
302	0.3443436007
303	0.3439059172
304	0.3433112991
305	0.3424984669
306	0.3418183357
307	0.3409953374
308	0.3405993834
309	0.3400562055
310	0.3394433321
311	0.3388759339
312	0.3382479856
313	0.3378179793
314	0.3374645519
315	0.3368929684
316	0.3363032703
317	0.3360541199
318	0.3355522491
319	0.3349876532
320	0.3342608558
321	0.3336683701
322	0.3328904786
323	0.3322962685
324	0.3318420787
325	0.3312791509
326	0.3307287288
327	0.3299957466
328	0.3294179399
329	0.3288158507
330	0.3279331843
331	0.3273555799
332	0.3268983469
333	0.3265116735
334	0.3259162806
335	0.3253198452
336	0.3249990958
337	0.3247108134
338	0.324096352
339	0.3236391982
340	0.3229256312
341	0.322525419
342	0.3219262589
343	0.321483922
344	0.3212619373
345	0.32059374
346	0.3199187549
347	0.3193356732
348	0.3190350224
349	0.3186008854
350	0.31819509
351	0.3176679181
352	0.3171526411
353	0.3167654095
354	0.3162399307
355	0.3156418638
356	0.3151975588
357	0.3146995738
358	0.3140606643
359	0.3134944803
360	0.3128712555
361	0.3124875782
362	0.3120370962
363	0.3116051128
364	0.3110417319
365	0.3105534451
366	0.3102716279
367	0.3097719418
368	0.3092635837
369	0.3085521934
370	0.3080809069
371	0.3077032461
372	0.3074847726
373	0.307177424
374	0.3066401203
375	0.3062567179
376	0.3058574235
377	0.3051041673
378	0.304737063
379	0.3043409138
380	0.3038207489
381	0.3034448593
382	0.3028376352
383	0.3022612959
384	0.3017499176
385	0.3011962377
386	0.3007313152
387	0.300351711
388	0.2999590482
389	0.2994733962
390	0.2992243058
391	0.2987247777
392	0.2982992823
393	0.2980194737
394	0.2972409945
395	0.2968117558
396	0.2963317566
397	0.2954575135
398	0.2949826608
399	0.2945422077
400	0.2940156
401	0.2937199016
402	0.2930011264
403	0.2926405527
404	0.2923193142
405	0.2918052711
406	0.2912911869
407	0.2908579123
408	0.2904377908
409	0.2894981873
410	0.2889654432
411	0.2884541697
412	0.2879610715
413	0.2873824003
414	0.2870596335
415	0.2866277258
416	0.2859315194
417	0.2856461441
418	0.2850866126
419	0.2844168735
420	0.2839896387
421	0.283675719
422	0.2830549099
423	0.2827587378
424	0.2822060357
425	0.2816370503
426	0.2813974484
427	0.2808523167
428	0.2805533685
429	0.2800258114
430	0.2796883211
431	0.2793683241
432	0.278931471
433	0.2785811225
434	0.2781890289
435	0.2777622405
436	0.2775079141
437	0.2769375016
438	0.2765924308
439	0.2761190098
440	0.2756522667
441	0.2753713411
442	0.2749093192
443	0.2744115283
444	0.2740845931
445	0.2739027382
446	0.2734955716
447	0.2732688494
448	0.2729739327
449	0.2724842773
450	0.2720366626
451	0.2717821618
452	0.271261324
453	0.2709371889
454	0.2705141428
455	0.2702392716
456	0.2699395176
457	0.2696595805
458	0.269216906
459	0.2684929449
460	0.2681434971
461	0.267984916
462	0.2675980221
463	0.267029551
464	0.2666541283
465	0.2662116521
466	0.2656753811
467	0.2650086608
468	0.2645755429
469	0.2642326136
470	0.2638868791
471	0.2633398739
472	0.2629528807
473	0.2626782072
474	0.2623015256
475	0.2619867295
476	0.2617596708
477	0.2613469953
478	0.2612351317
479	0.2608682153
480	0.2604484914
481	0.2601412886
482	0.2598220747
483	0.2595242762
484	0.2592056922
485	0.2586884531
486	0.2582907148
487	0.2578792534
488	0.2573540765
489	0.2569898777
490	0.2565680686
491	0.2563123204
492	0.2559295607
493	0.2556901456
494	0.2555043389
495	0.2551761584
496	0.2547988829
497	0.2542073072
498	0.2538870993
499	0.2534973392
